Pop	estimate	statistic	p.value	parameter	conf.low	conf.high	method	alternative	Pop1	mean_diff	iter	m	h2
AFR	0.075239793074803	7.54461230571204	4.93153258902624e-14	9998	0.0557218964437404	0.0947002081864144	Pearson's product-moment correlation	two.sided	AFR	-1.06581403587751e-17	26	200	0.67
ALL	0.173272700997941	30.4716291014358	7.17957053749193e-201	29998	0.162274940399393	0.184227418417652	Pearson's product-moment correlation	two.sided	ALL	-5.92054785640937e-16	26	200	0.67
EAS	0.452180495816508	50.6919907486133	0	9998	0.436448568822419	0.467636015661969	Pearson's product-moment correlation	two.sided	EAS	-1.68163058348117e-15	26	200	0.67
EUR	0.553329678695891	66.4224915910918	0	9998	0.539581532524079	0.566782818746357	Pearson's product-moment correlation	two.sided	EUR	-8.64567315309039e-17	26	200	0.67
AFR	0.498747141588944	57.5366233494682	0	9998	0.483877202969069	0.513329173096611	Pearson's product-moment correlation	two.sided	AFR	2.35614671084119e-15	27	200	0.67
ALL	0.554448666044079	115.390598769806	0	29998	0.546561914340713	0.562237070128481	Pearson's product-moment correlation	two.sided	ALL	-3.5909058827843e-16	27	200	0.67
EAS	0.823617092696909	145.206762230087	0	9998	0.817209192004273	0.829821395190424	Pearson's product-moment correlation	two.sided	EAS	1.3717693634111e-14	27	200	0.67
EUR	0.744148415932104	111.385934748261	0	9998	0.735272561708418	0.752769077160899	Pearson's product-moment correlation	two.sided	EUR	-1.70674521180793e-14	27	200	0.67
AFR	0.0324441493697309	3.24579923022461	0.00117506921246596	9998	0.0128522522124478	0.0520111450894726	Pearson's product-moment correlation	two.sided	AFR	3.43917731072214e-15	29	200	0.67
ALL	0.0471216574745545	8.17051457982866	3.19030683735802e-16	29998	0.0358248200598438	0.0584064537783174	Pearson's product-moment correlation	two.sided	ALL	3.39673021110366e-15	29	200	0.67
EAS	0.0310571901250551	3.10690716875644	0.00189585427351727	9998	0.0114640985845635	0.0506264426420485	Pearson's product-moment correlation	two.sided	EAS	2.34734217079738e-15	29	200	0.67
EUR	0.359619694269225	38.5365051947112	4.82004909537434e-303	9998	0.342433289684464	0.376565515431216	Pearson's product-moment correlation	two.sided	EUR	4.46972562078102e-15	29	200	0.67
AFR	0.0386991044476935	3.87242423216972	0.000108444681063912	9998	0.0191135321582619	0.0582549877412445	Pearson's product-moment correlation	two.sided	AFR	-1.08316274244173e-15	30	200	0.67
ALL	0.0526447747178429	9.13070002659237	7.22082796769481e-20	29998	0.0413534698835967	0.0639226345337892	Pearson's product-moment correlation	two.sided	ALL	-2.89288684695611e-15	30	200	0.67
EAS	0.0449629124577944	4.50039303586654	6.85944392727788e-06	9998	0.0253852138412619	0.0645061347365807	Pearson's product-moment correlation	two.sided	EAS	1.04925774557611e-15	30	200	0.67
EUR	0.139728407612566	14.1098630446887	8.868956075407e-45	9998	0.120458234960832	0.158893318616856	Pearson's product-moment correlation	two.sided	EUR	-8.61551408557273e-15	30	200	0.67
AFR	0.282423160360639	29.4379112649835	9.67167735504772e-183	9998	0.264286049409249	0.30036058025185	Pearson's product-moment correlation	two.sided	AFR	-4.62945469719561e-16	31	200	0.67
ALL	0.418718828101737	79.8596396074784	0	29998	0.409342433134044	0.42800678767714	Pearson's product-moment correlation	two.sided	ALL	-1.55590026449376e-15	31	200	0.67
EAS	0.513733728797821	59.873249441562	0	9998	0.499159807235836	0.528017080214799	Pearson's product-moment correlation	two.sided	EAS	-1.46404845440939e-15	31	200	0.67
EUR	0.692906598082608	96.0902938522058	0	9998	0.682576613233338	0.702959759064961	Pearson's product-moment correlation	two.sided	EUR	-2.73999770897433e-15	31	200	0.67
AFR	0.396884455641136	43.2354668369409	0	9998	0.380242276280319	0.413269715768446	Pearson's product-moment correlation	two.sided	AFR	7.58177224344583e-15	32	200	0.67
ALL	0.386913129264862	72.6731491343163	0	29998	0.377248892602489	0.396493109246612	Pearson's product-moment correlation	two.sided	ALL	7.27736994043077e-15	32	200	0.67
EAS	0.00577722245079885	0.577674110358905	0.563497170359537	9998	-0.0138244129444118	0.0253744192068431	Pearson's product-moment correlation	two.sided	EAS	-1.02989845055917e-14	32	200	0.67
EUR	0.357315798740448	38.2533541414169	6.3181027982773e-299	9998	0.340097573070173	0.374294528948319	Pearson's product-moment correlation	two.sided	EUR	2.45127067983206e-14	32	200	0.67
AFR	0.0608232183251579	6.09299441926906	1.14904213926178e-09	9998	0.041272350715847	0.0803275267228402	Pearson's product-moment correlation	two.sided	AFR	1.27479179556217e-16	33	200	0.67
ALL	0.182009138523562	32.0593491608117	9.05309088586641e-222	29998	0.171045484440663	0.192927723847369	Pearson's product-moment correlation	two.sided	ALL	1.39243923014439e-15	33	200	0.67
EAS	0.475716864675094	54.0780035425081	0	9998	0.460409693257714	0.490741222371752	Pearson's product-moment correlation	two.sided	EAS	1.54195259804892e-15	33	200	0.67
EUR	0.465025720629258	52.5223881319618	0	9998	0.449522843067474	0.480248547629877	Pearson's product-moment correlation	two.sided	EUR	2.50973530694677e-15	33	200	0.67
AFR	0.224455690922922	23.0309759934209	2.09374838038545e-114	9998	0.205760834282171	0.242986777711652	Pearson's product-moment correlation	two.sided	AFR	-6.57040242525719e-16	40	200	0.67
ALL	0.249078561915546	44.5441187229805	0	29998	0.23843466373225	0.25966262784873	Pearson's product-moment correlation	two.sided	ALL	6.16421672074694e-15	40	200	0.67
EAS	0.0981336538982382	9.8599756991015	7.8870186488929e-23	9998	0.078684928571773	0.117507706465444	Pearson's product-moment correlation	two.sided	EAS	1.28218744317374e-14	40	200	0.67
EUR	0.504820137448658	58.4748952265043	0	9998	0.490069060684076	0.519282164860882	Pearson's product-moment correlation	two.sided	EUR	6.40006078190571e-15	40	200	0.67
AFR	0.0219614752144127	2.19645764237213	0.0280820796307569	9998	0.00236242210849963	0.0415436628942621	Pearson's product-moment correlation	two.sided	AFR	-1.04301118306407e-14	42	200	0.67
ALL	0.107255638877299	18.6843836573231	1.82812533662181e-77	29998	0.0960562820970835	0.118427843329694	Pearson's product-moment correlation	two.sided	ALL	-1.97420808839076e-14	42	200	0.67
EAS	0.0679985212681348	6.81494583185861	9.97372155412995e-12	9998	0.0484630416339726	0.0874819973832347	Pearson's product-moment correlation	two.sided	EAS	-3.52265628723742e-14	42	200	0.67
EUR	0.478125255480442	54.4326517400506	0	9998	0.462862806362101	0.493104302811572	Pearson's product-moment correlation	two.sided	EUR	-1.33507132391996e-14	42	200	0.67
AFR	0.121672404672902	12.2570900267311	2.71162846093127e-34	9998	0.102316337408509	0.140936371357333	Pearson's product-moment correlation	two.sided	AFR	3.93355075074819e-15	43	200	0.67
ALL	0.112772686467252	19.6575503405789	1.72200309926351e-85	29998	0.101586383659269	0.123930475332566	Pearson's product-moment correlation	two.sided	ALL	-4.69026094163011e-17	43	200	0.67
EAS	-0.00901591273594833	-0.901537752210209	0.3673241873241	9998	-0.0286109268290739	0.0105860279498622	Pearson's product-moment correlation	two.sided	EAS	3.04721199428291e-15	43	200	0.67
EUR	0.0625440604434	6.26604821804757	3.85587923163925e-10	9998	0.0429966987167409	0.0820435558788118	Pearson's product-moment correlation	two.sided	EUR	-7.22254709924035e-15	43	200	0.67
AFR	0.672099149641735	90.7585664818009	0	9998	0.661209315839077	0.682705806085842	Pearson's product-moment correlation	two.sided	AFR	6.16834177729871e-16	45	200	0.67
ALL	0.766503222612121	206.71046929575	0	29998	0.761794866096472	0.771130603697777	Pearson's product-moment correlation	two.sided	ALL	1.80591457586698e-16	45	200	0.67
EAS	0.845449937605647	158.291916055692	0	9998	0.839765519543192	0.850949034998327	Pearson's product-moment correlation	two.sided	EAS	2.17128624514741e-15	45	200	0.67
EUR	0.861467298586713	169.625642354878	0	9998	0.856326140782236	0.866437724132902	Pearson's product-moment correlation	two.sided	EUR	-2.26909131675196e-15	45	200	0.67
AFR	0.1116355036108	11.2326467420507	4.20972154698193e-29	9998	0.0922372545959041	0.130949048754696	Pearson's product-moment correlation	two.sided	AFR	-3.00804536444363e-15	46	200	0.67
ALL	0.146160899317802	25.5897794648815	6.78721093642793e-143	29998	0.135068355216969	0.157216811024742	Pearson's product-moment correlation	two.sided	ALL	9.45349054842348e-15	46	200	0.67
